itemid,creatorid,creator,title,birth_year,death_year,collection,creation_date
94979,2409,"John Singleton Copley (American, 1738–1815)",Nathaniel Hurd,1738,1815,American - Painting,c. 1765
102578,3071,"William Merritt Chase (American, 1849–1916)",Portrait of Dora Wheeler,1849,1916,American - Painting,1882–83
92937,3005,"George Bellows (American, 1882–1925)",Stag at Sharkey's,1882,1925,American - Painting,1909
151904,4037,"Thomas Eakins (American, 1844–1916)",The Biglin Brothers Turning the Stake,1844,1916,American - Painting,1873
141639,2697,"Frederic Edwin Church (American, 1826–1900)",Twilight in the Wilderness,1826,1900,American - Painting,1860
110180,3267,"Albert Pinkham Ryder (American, 1847–1917)",The Race Track (Death on a Pale Horse),1847,1917,American - Painting,c. 1896–1908
149112,889,"Charles Sheeler (American, 1883–1965)",Church Street El,1883,1965,American - Painting,1920
126769,1804,"Henri Rousseau (French, 1844–1910)",Fight between a Tiger and a Buffalo,1844,1910,Mod Euro - Painting 1800-1960,1908
149410,1776,"Paul Gauguin (French, 1848–1903)",In the Waves (Dans les Vagues),1848,1903,Mod Euro - Painting 1800-1960,1889
135299,1779,"Vincent van Gogh (Dutch, 1853–1890)",Adeline Ravoux,1853,1890,Mod Euro - Painting 1800-1960,1890
93014,2659,"Thomas Cole (American, 1801–1848)","View of Schroon Mountain, Essex County, New York, After a Storm",1801,1848,American - Painting,1838
125249,1779,"Vincent van Gogh (Dutch, 1853–1890)",The Large Plane Trees (Road Menders at Saint-Rémy),1853,1890,Mod Euro - Painting 1800-1960,1889
135382,1844,"Claude Monet (French, 1840–1926)",The Red Kerchief,1840,1926,Mod Euro - Painting 1800-1960,c. 1868–73
123365,3077,"John Rogers Cox (American, 1915–1990)",Gray and Gold,1915,1990,American - Painting,1942
128391,2633,"Pieter de Hooch (Dutch, 1629–1684)",Portrait of a Family Playing Music,1629,1684,P - Netherlandish-Dutch,1663
140161,3285,"John Sloan (American, 1871–1951)",A Woman's Work,1871,1951,American - Painting,1912
124245,2160,"Pablo Picasso (Spanish, 1881–1973)",La Vie,1881,1973,Mod Euro - Painting 1800-1960,1903
125104,1759,"Edgar Degas (French, 1834–1917)",Frieze of Dancers,1834,1917,Mod Euro - Painting 1800-1960,c. 1895
129265,2130,"Henri Matisse (French, 1869–1954)",Interior with an Etruscan Vase (Intérieur au vase étrusque),1869,1954,Mod Euro - Painting 1800-1960,1940
138464,1643,"Jacques-Louis David (French, 1748–1825)",Cupid and Psyche,1748,1825,Mod Euro - Painting 1800-1960,1817
122349,2541,"Joshua Reynolds (British, 1723–1792)",Portrait of the Ladies Amabel and Mary Jemima Yorke,1723,1792,P - British before 1800,c. 1761
127571,2209,"Lorenzo Lotto (Italian, 1480–1556)","Portrait of a Man, possibly Girolamo Rosati",1480,1556,P - Italian 16th & 17th Century,1533–34
109245,2553,"Benjamin West (American, 1738–1820)","Elizabeth Shewell West and Her Son, Raphael",1738,1820,American - Painting,c. 1770
140408,2694,"John James Audubon (American, 1785–1851)",Peregrine Falcons (Duck Hawks),1785,1851,American - Painting,c. 1827
135428,2647,"Lucas Cranach (German, 1472–1553)",Hunting near Hartenfels Castle,1472,1553,P - German before 1800,1540
150389,1946,"Nicolas Poussin (French, 1594–1665)",The Holy Family on the Steps,1594,1665,P - French 17th Century,1648
138359,2673,"Willem Kalf (Dutch, 1619–1693)",Wineglass and a Bowl of Fruit,1619,1693,P - Netherlandish-Dutch,1663
137259,1600,"Gustave Courbet (French, 1819–1877)",Mme L... (Laure Borreau),1819,1877,Mod Euro - Painting 1800-1960,1863
98268,2523,"Charles Willson Peale (American, 1741–1827)",George Washington at Princeton,1741,1827,American - Painting,c. 1779
98268,34768,Workshop,George Washington at Princeton,,,American - Painting,c. 1779
131819,2443,"Anthony van Dyck (Flemish, 1599–1641)",A Genoese Lady with Her Child,1599,1641,P - Netherlandish-Flemish,c. 1623–25
148758,2065,"Caravaggio (Italian, 1571–1610)",The Crucifixion of Saint Andrew,1571,1610,P - Italian 16th & 17th Century,1606–7
165157,4050,"Jacob Lawrence (American, 1917–2000)",Fulton and Nostrand,1917,2000,American - Painting,1958
135214,1638,"Honoré Daumier (French, 1808–1879)",The Troubadour,1808,1879,Mod Euro - Painting 1800-1960,1868–73
122351,1280,"Joseph Mallord William Turner (British, 1775–1851)","The Burning of the Houses of Lords and Commons, 16 October 1834",1775,1851,Mod Euro - Painting 1800-1960,1835
120870,1765,"Pierre-Auguste Renoir (French, 1841–1919)",The Judgment of Paris,1841,1919,Mod Euro - Sculpture 1800-1960,1914
120870,61535,"Ricard Guinó (Spanish, 1890–1973)",The Judgment of Paris,1890,1973,Mod Euro - Sculpture 1800-1960,1914
162080,12809,"Salvador Dalí (Spanish, 1904–1989)",The Dream,1904,1989,Mod Euro - Painting 1800-1960,1931
134072,2493,"George Inness (American, 1825–1894)",Sunny Autumn Day,1825,1894,American - Painting,1892
147066,2160,"Pablo Picasso (Spanish, 1881–1973)","Bottle, Glass, Fork",1881,1973,Mod Euro - Painting 1800-1960,1911–12
124089,2520,"Rembrandt van Rijn (Dutch, 1606–1669)",Portrait of a Woman,1606,1669,P - Netherlandish-Dutch,1635 or earlier
124089,61762,Studio,Portrait of a Woman,,,P - Netherlandish-Dutch,1635 or earlier
136510,1844,"Claude Monet (French, 1840–1926)",Water Lilies (Agapanthus),1840,1926,Mod Euro - Painting 1800-1960,c. 1915–26
155783,2876,"William Sidney Mount (American, 1807–1868)",The Power of Music,1807,1868,American - Painting,1847
147017,1536,"John Constable (British, 1776–1837)","Branch Hill Pond, Hampstead",1776,1837,Mod Euro - Painting 1800-1960,1828
149768,61584,"Petrus Christus (Netherlandish, c. 1410–1475/76)",Saint John the Baptist in a Landscape,c. 1410,1475/76,MED - Medieval Art,c. 1445
163769,7876,"Aaron Douglas (American, 1899–1979)",Go Down Death,1899,1979,American - Painting,1934
136911,2659,"Thomas Cole (American, 1801–1848)",View of Florence,1801,1848,American - Painting,1837
156112,15830,"Carlo Bugatti (Italian, 1856–1940)",Tea Table,1856,1940,Furniture,c. 1907
135539,9759,"Claus de Werve (Netherlandish, 1380–1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",1380,1439,MED - Gothic,1404–10
136217,5148,"Francisco de Zurbarán (Spanish, 1598–1664)",Christ and the Virgin in the House at Nazareth,1598,1664,P - Spanish before 1800,c. 1640
155665,10735,"Policoro Painter (South Italian, Lucanian, active c. 400 BCE)",Red-Figure Calyx-Krater (Mixing Vessel): Medea in Chariot (A); Telephos with Baby Orestes (B),,,GR - South Italy,c. 400 BCE
149665,2775,"Arnold Böcklin (Swiss, 1827–1901)",Ruin by the Sea,1827,1901,Mod Euro - Painting 1800-1960,1881
148753,1748,"Odilon Redon (French, 1840–1916)",Violette Heymann,1840,1916,DR - French,1910
171296,2605,"Robert S. Duncanson (American, 1821–1872)",Vale of Kashmir,1821,1872,American - Painting,1867
135920,9821,"Tilman Riemenschneider (German, active Würzburg, c. 1460–1531)",Saint Lawrence,,1531,MED - Gothic,1502–8
140396,3631,"Kay Sage (American, 1898–1963)",A Bird in the Room,1898,1963,American - Painting,1955
128392,1836,"Camille Pissarro (French, 1830–1903)","Edge of the Woods Near L'Hermitage, Pontoise",1830,1903,Mod Euro - Painting 1800-1960,1879
147938,2249,"Giovanni Paolo Panini (Italian, 1691–1765)","Interior of the Pantheon, Rome",1691,1765,P - Italian 18th Century,1747
164628,31614,"Reginald Marsh (American, 1898–1954)",A Paramount Picture,1898,1954,American - Painting,1934
155860,2879,"Friedrich Amerling (Austrian, 1803–1887)",The Young Eastern Woman,1803,1887,Mod Euro - Painting 1800-1960,1838
128842,1910,"Georges de La Tour (French, 1593–1652)",Saint Peter Repentant,1593,1652,P - French 17th Century,1645
135538,9759,"Claus de Werve (Netherlandish, 1380–1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",1380,1439,MED - Gothic,1404–10
160289,2559,"John Singer Sargent (American, 1856–1925)",Portrait of Lisa Colt Curtis,1856,1925,American - Painting,1898
119143,9766,"Jean de la Huerta (Spanish, active Burgundy, 1431–62)",Mourner from the Tomb of John the Fearless and Margaret of Bavaria,,,MED - Gothic,1443–45
138885,7682,"Master of the First Prayerbook of Maximillian (Flemish, c. 1444–1519)","Hours of Queen Isabella the Catholic, Queen of Spain",c. 1444,1519,MED - Manuscript Illuminations,c. 1500
138885,293477,Associates,"Hours of Queen Isabella the Catholic, Queen of Spain",,,MED - Manuscript Illuminations,c. 1500
140078,1588,"Jean Baptiste Camille Corot (French, 1796–1875)","La Cervara, the Roman Campagna",1796,1875,Mod Euro - Painting 1800-1960,c. 1830–31
153603,2858,"Maerten van Heemskerck (Dutch, 1498–1574)",Portrait of Machtelt Suijs,1498,1574,P - Netherlandish-Flemish,c. 1540–45
145450,2832,"Emanuel de Witte (Dutch, c. 1617–1692)",Interior of a Church,ca. 1617,1692,P - Netherlandish-Dutch,c. 1680
162292,6371,"Louise Bourgeois (American, 1911–2010)",Blind Man's Buff,1911,2010,CONTEMP - Sculpture,1984
119132,9759,"Claus de Werve (Netherlandish, 1380–1439)","Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",1380,1439,MED - Gothic,1404–1410
160885,2614,"Frans Hals (Dutch, c. 1581–1666)",Portrait of Tieleman Roosterman,c. 1581,1666,P - Netherlandish-Dutch,1634
117032,2291,"Andrea del Sarto (Italian, 1486–1530)",The Sacrifice of Isaac,1486,1530,P - Italian 16th & 17th Century,c. 1527
98627,5925,"Auguste Rodin (French, 1840–1917)",The Age of Bronze,1840,1917,Mod Euro - Sculpture 1800-1960,1875–76
126758,1733,"Pierre Bonnard (French, 1867–1947)",The Dessert,1867,1947,Mod Euro - Painting 1800-1960,1921
146148,1978,"Anne Vallayer-Coster (French, 1744–1818)",Basket of Plums,1744,1818,P - French 18th Century,1769
142792,3155,"Ernst Ludwig Kirchner (German, 1880–1938)",Wrestlers in a Circus,1880,1938,Mod Euro - Painting 1800-1960,1909
172815,3011,"Albert Bierstadt (American, 1830–1902)","Mount Starr King, Yosemite",1830,1902,American - Painting,1866
103366,2556,"Gilbert Stuart (American, 1755–1828)",Elizabeth Beltzhoover Mason,1755,1828,American - Painting,c. 1803–5
113202,2200,"Filippino Lippi (Italian, 1457–1504)",The Holy Family with Saint John the Baptist and Saint Margaret,1457,1504,MED - Renaissance,c. 1495
125324,19266,"Max Kalish (American, 1891–1945)",The Driller,1891,1945,American - Sculpture,c. 1926
135661,1251,"Peter Paul Rubens (Flemish, 1577–1640)",Diana and Her Nymphs Departing for the Hunt,1577,1640,P - Netherlandish-Flemish,c. 1615
135661,34768,Workshop,Diana and Her Nymphs Departing for the Hunt,,,P - Netherlandish-Flemish,c. 1615
145463,2175,"Orazio Gentileschi (Italian, 1563–1639)",Danaë,1563,1639,P - Italian 16th & 17th Century,c. 1623
155637,533,"Anselm Kiefer (German, 1945-)",Lot's Wife,1945,,CONTEMP - Painting,1989
144743,1949,"Jean-Baptiste Oudry (French, 1686–1755)",A Hare and a Leg of Lamb,1686,1755,P - French 18th Century,1742
115405,1754,"Paul Cezanne (French, 1839–1906)",The Pigeon Tower at Bellevue,1839,1906,Mod Euro - Painting 1800-1960,1890
135310,1779,"Vincent van Gogh (Dutch, 1853–1890)",Two Poplars in the Alpilles near Saint-Rémy,1853,1890,Mod Euro - Painting 1800-1960,1889
106088,3143,"Winslow Homer (American, 1836–1910)",Early Morning After a Storm at Sea,1836,1910,American - Painting,1900–1903
169187,61503,"Edmonia Lewis (American, c. 1844–1907)",Indian Combat,c. 1844,1907,American - Sculpture,1868
172954,6568,"Edward Hopper (American, 1882–1967)","Hills, South Truro",1882,1967,American - Painting,1930
152834,5816,"Joseph Alexis Bailly (American, 1825–1883)",Sideboard,1825,1883,Furniture,c. 1855
168322,59748,"Angelos Akotantos (Greek, d. 1450)",Icon of the Mother of God and Infant Christ (Virgin Eleousa),,c. 1450,MED - Byzantine,c. 1425–50
135185,1754,"Paul Cezanne (French, 1839–1906)",Mount Sainte-Victoire,1839,1906,Mod Euro - Painting 1800-1960,c. 1904
135336,1796,"Edouard Manet (French, 1832–1883)",Berthe Morisot,1832,1883,Mod Euro - Painting 1800-1960,c. 1869–73
149041,13916,"Juste-Aurèle Meissonnier (French, 1695–1750)",Covered Tureen on Stand (Pot-à-oille),1695,1750,Decorative Arts,1735–38
149041,13934,Pierre-François Bonnestrenne (French),Covered Tureen on Stand (Pot-à-oille),,,Decorative Arts,1735–38
149041,13926,"Henry Adnet (French, 1745)",Covered Tureen on Stand (Pot-à-oille),,1745,Decorative Arts,1735–38
159583,5913,"Raphael Gleitsmann (American, 1910–1995)",The White Dam,1910,1995,American - Cleveland School,1939
95272,1844,"Claude Monet (French, 1840–1926)",Gardener's House at Antibes,1840,1926,Mod Euro - Painting 1800-1960,1888
141935,2706,"Washington Allston (American, 1779–1843)",Samuel Williams,1779,1843,American - Painting,c. 1817
136680,2403,"Jusepe de Ribera (Spanish, 1591–1652)",Saint Jerome,1591,1652,P - Spanish before 1800,c. 1638–40
121188,1765,"Pierre-Auguste Renoir (French, 1841–1919)",Romaine Lacaux,1841,1919,Mod Euro - Painting 1800-1960,1864
123168,1776,"Paul Gauguin (French, 1848–1903)",The Call,1848,1903,Mod Euro - Painting 1800-1960,1902
153765,49917,"Ateu Atsa (Bangwa, c. 1840–1910)",Commemorative figure (lefem),ca. 1840,1910,African Art,mid-1800s–1910
135420,3228,"Georgia O'Keeffe (American, 1887–1986)",Morning Glory with Black,1887,1986,American - Painting,1926
294175,7921,"Norman Lewis (American, 1909–1979)",Alabama,1909,1979,American - Painting,1960
143602,2676,"Jacob van Ruisdael (Dutch, 1628/29–1682)",Low Waterfall in a Wooded Landscape with a Dead Beech Tree,1628/29,1682,P - Netherlandish-Dutch,c. 1660–70
88940,3029,"Georges Braque (French, 1882–1963)","The Port of l'Estaque, the Pier",1882,1963,Mod Euro - Painting 1800-1960,1906
129300,2553,"Benjamin West (American, 1738–1820)",George III,1738,1820,American - Painting,1783
149107,2285,"Salvator Rosa (Italian, 1615–1673)",Scenes of Witchcraft: Evening,1615,1673,P - Italian 16th & 17th Century,c. 1645–49
140139,3488,"Ellsworth Kelly (American, 1923–2015)",Red Blue,1923,2015,CONTEMP - Painting,1962
114684,2984,"Hans Memling (Netherlandish, 1494)",Virgin and Child,,1494,MED - Medieval Art,c. 1470–80
149105,2285,"Salvator Rosa (Italian, 1615–1673)",Scenes of Witchcraft: Morning,1615,1673,P - Italian 16th & 17th Century,c. 1645–1649
122338,2535,"Albert Bouts (Netherlandish, 1451–55–1549)",The Annunciation,1451-55,1549,MED - Medieval Art,c. 1480
170235,62091,"Johann Georg Platzer (Austrian, 1704–1761)",The Artist's Studio,1704,1761,Paintings,1740s-1750s
142298,1685,"Jean-Auguste-Dominique Ingres (French, 1780–1867)",Antiochus and Stratonice,1780,1867,Mod Euro - Painting 1800-1960,c. 1838
108544,1748,"Odilon Redon (French, 1840–1916)",Orpheus,1840,1916,DR - French,c. 1903–10
146416,2968,"John Linnell (British, 1792–1882)",Noah:  The Eve of the Deluge,1792,1882,Mod Euro - Painting 1800-1960,1848
149108,2285,"Salvator Rosa (Italian, 1615–1673)",Scenes of Witchcraft: Night,1615,1673,P - Italian 16th & 17th Century,c. 1645–1649
130457,1833,"Edouard Vuillard (French, 1868–1940)",Under the Trees (from "The Public Gardens"),1868,1940,Mod Euro - Painting 1800-1960,1894
125103,9821,"Tilman Riemenschneider (German, active Würzburg, c. 1460–1531)",Saint Jerome and the Lion (From the former Church of St. Peter in Erfurt),,1531,MED - Gothic,c. 1495
130391,1844,"Claude Monet (French, 1840–1926)",Spring Flowers,1840,1926,Mod Euro - Painting 1800-1960,1864
142734,55332,"House of Fabergé (Russian, 1842–1918)",Flower Study of a Lily of the Valley,1842,1918,Decorative Arts,c. 1885–1915
99445,2553,"Benjamin West (American, 1738–1820)",British Manufactory; A Sketch,1738,1820,American - Painting,1791
135931,9821,"Tilman Riemenschneider (German, active Würzburg, c. 1460–1531)",Saint Stephen,,1531,MED - Gothic,1502–8
143775,5801,"Antonio Canova (Italian, 1757–1822)",Terpsichore Lyran (Muse of Lyric Poetry),1757,1822,Mod Euro - Sculpture 1800-1960,1816
99443,2547,"Joseph Badger (American, 1708–1765)",Jeremiah Belknap,1708,1765,American - Painting,c. 1758
173641,1571,"William Adolphe Bouguereau (French, 1825–1905)",Rest,1825,1905,Mod Euro - Painting 1800-1960,1879
92936,14219,"Rockwell Kent (American, 1882–1971)",Maine Coast,1882,1971,American - Painting,1907
118490,3086,"William Glackens (American, 1870–1938)","The Drive, Central Park",1870,1938,American - Painting,c. 1905
97166,2197,"Filippo Lippi (Italian, c. 1406–1469)",Virgin and Child with Angels,c. 1406,1469,MED - Medieval Art,c. 1460
142738,55332,"House of Fabergé (Russian, 1842–1918)",Parrot on a Perch ,1842,1918,Decorative Arts,1896–1903
142738,8914,"Mikhail Evlampievich Perkhin (Russian, 1860–1903)",Parrot on a Perch ,1860,1903,Decorative Arts,1896–1903
149106,2285,"Salvator Rosa (Italian, 1615–1673)",Scenes of Witchcraft: Day,1615,1673,P - Italian 16th & 17th Century,c. 1645–1649
125234,1844,"Claude Monet (French, 1840–1926)","Low Tide at Pourville, near Dieppe, 1882",1840,1926,Mod Euro - Painting 1800-1960,1882
146147,10915,"Antimenes Painter (Greek, Attic, active c. 530–510 BCE)",Black-Figure Dinos (Mixing Vessel): Warships (Int.); Heroic Scenes (Top),,,GR - Greek,c. 520–515 BCE
159976,3748,"Andy Warhol (American, 1928–1987)",Marilyn x 100,1928,1987,CONTEMP - Painting,1962
162625,15639,"Lee Krasner (American, 1908–1984)",Celebration,1908,1984,American - Painting,1960
97165,2344,"Giovanni Francesco Toscani (Italian, c. 1380–1430)",Panel from a Cassone: The Race of the Palio in the Streets of Florence,c. 1380,1430,MED - Medieval Art,1418
125247,1251,"Peter Paul Rubens (Flemish, 1577–1640)",Portrait of Isabella Brant,1577,1640,P - Netherlandish-Flemish,c. 1620–25
143152,12907,"Adam Lenckhardt (German, 1610–1661)",Descent from the Cross,1610,1661,Sculpture,1653
144338,3643,"Julian Stanczak (American, 1928–2017)",Filtered Yellow,1928,2017,CONTEMP - Painting,1968
143915,3597,"Fairfield Porter (American, 1907–1975)",Nyack,1907,1975,CONTEMP - Painting,1966–1967
124092,2590,"Gerard ter Borch (Dutch, 1617–1681)",Portrait of a Woman,1617,1681,P - Netherlandish-Dutch,c. 1665
111479,1907,"Noël Nicolas Coypel (French, 1690–1734)",The Miracles of Saint James the Greater,1690,1734,P - French 18th Century,1726
132367,282522,"Battista di Biagio Sanguigni (Italian, active 1393–1451)",Virgin and Child Enthroned,,,MED - Medieval Art,1419
93234,3246,"Maurice Prendergast (American, 1858–1924)","On the Beach, No. 3",1858,1924,American - Painting,c. 1915–18
128838,2639,Master of the Schlägl Altarpiece (German),Altarpiece with The Passion of Christ,,,MED - Medieval Art,c. 1440s
142277,10899,"Douris (Greek, Attic, active c. 500–470 BCE)",White-Ground Lekythos (Oil Vessel): Atalanta and Erotes,,,GR - Greek,500–490 BCE
172828,4062,"George Luks (American, 1866–1933)",Holiday on the Hudson,1866,1933,American - Painting,c. 1912
149386,5538,"Félix Bracquemond (French, 1833–1914)",Hand Mirror,1833,1914,Decorative Arts,c. 1900
149386,5925,"Auguste Rodin (French, 1840–1917)",Hand Mirror,1840,1917,Decorative Arts,c. 1900
149386,13439,Alexander Riquet (French),Hand Mirror,,,Decorative Arts,c. 1900
149386,13631,"Alexis Falize (French, 1811–1898)",Hand Mirror,1811,1898,Decorative Arts,c. 1900
148297,1776,"Paul Gauguin (French, 1848–1903)",The Large Tree,1848,1903,Mod Euro - Painting 1800-1960,1891
159838,6683,"Harriet Goodhue Hosmer (American, 1830–1908)",The Sleeping Faun,1830,1908,American - Sculpture,"modeled 1864, carved c. 1870"
318300,63955,"Al Loving (American, 1935–2005)",Blue Rational/Irrational,1935,2005,CONTEMP - Painting,1969
150530,3104,"Marsden Hartley (American, 1877–1943)",Military,1877,1943,American - Painting,1914–1915
124040,3143,"Winslow Homer (American, 1836–1910)",The Brierwood Pipe,1836,1910,American - Painting,1864
135480,1765,"Pierre-Auguste Renoir (French, 1841–1919)",The Apple Seller,1841,1919,Mod Euro - Painting 1800-1960,c. 1890
302209,25419,"Joseph Wright of Derby (British, 1734–1797)",Portrait of Colonel Charles Heathcote,1734,1797,P - British before 1800,c. 1771–72
110059,11009,"Oionokles Painter (Greek, Attic, active c. 480–460 BCE)",Red-Figure Lekythos (Oil Vessel): Warrior Cutting Hair,,,GR - Greek,c. 480–470 BCE
156855,7431,"Tiffany & Co. (America, New York, est. 1837)",Tall Clock,1837,,Furniture,c. 1880
156593,3173,"René Magritte (Belgian, 1898–1967)",The Secret Life,1898,1967,Mod Euro - Painting 1800-1960,1928
119326,33346,"Nathaniel Hurd (American, 1730–1778)",Teapot,1730,1778,Decorative Arts,c. 1755–60
160090,6583,"Chuck Close (American, 1940–2021)",Paul III,1940,2021,CONTEMP - Painting,1996
115067,1748,"Odilon Redon (French, 1840–1916)",Vase of Flowers,1840,1916,Mod Euro - Painting 1800-1960,c. 1905
125951,1935,"Jean-Marc Nattier (French, 1685–1766)",Portrait of a Woman,1685,1766,P - French 18th Century,c. 1748
149947,3591,"Jackson Pollock (American, 1912–1956)","Number 5, 1950",1912,1956,American - Painting,1950
142476,2715,"Robert Campin (Netherlandish, 1375/79–1444)",John the Baptist,1375/79,1444,MED - Medieval Art,c. 1410
140492,7765,Master of the Brussels Initials and Associates (French),"Hours of Charles the Noble, King of Navarre (1361-1425)",,1409,MED - Manuscript Illuminations,c. 1404
99429,2550,"Robert Feke (American, c. 1707–c. 1752)",Charles Apthorp,1707,1752,American - Painting,1748
